"","origin","affected","count","d","trade","o_lpop","o_lgdp","o_civr","o_muslim","o_budhist","o_hindu","o_femil","t_lpop","t_lgdp","t_civr","o_elf","o_infmort","occupier"
"31","Kazakhstan","Afghanistan",0,3.25174143129655,0,16.5578651428223,7.2636137008667,5,0.47,0,0,1.013,17.0383777618408,5.90808296203613,7,0.617721974849701,22,0
"32","Italy","Afghanistan",0,3.05799898167448,5.68337964068633e-05,17.8690338134766,9.92320919036865,2,0,0,0,2.102,17.0383777618408,5.90808296203613,7,0.114000000059605,5,0
"33","Croatia","Afghanistan",0,2.85872864438278,2.66541087512451e-06,15.2963352203369,8.51864814758301,4,0,0,0,3.124,17.0383777618408,5.90808296203613,7,0.193417996168137,8,0
"34","Bulgaria","Afghanistan",0,2.50630851670422,0,15.9265718460083,7.30145025253296,3,0.121,0,0,2.414,17.0383777618408,5.90808296203613,7,0.224999994039536,14,0
"35","Australia","Afghanistan",0,7.05000487113013,1.48691706272075e-05,16.7493667602539,10.0479793548584,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.437000006437302,5,0
"37","Nigeria","Afghanistan",0,4.26840098962502,0,18.6113014221191,5.53790235519409,5,0.5,0,0,47.813,17.0383777618408,5.90808296203613,7,0.85699999332428,123,0
"38","Cambodia","Afghanistan",0,2.74083067874179,0,16.2578582763672,5.68605184555054,6,0,0.949999988079071,0,45.171,17.0383777618408,5.90808296203613,7,0.1858000010252,102,0
"40","Sierra Leone","Afghanistan",0,5.45449697318972,0,15.390456199646,5.07518577575684,5.5,0.6,0,0,77.4,17.0383777618408,5.90808296203613,7,0.767000019550323,169,0
"41","Tanzania","Afghanistan",0,3.45605352378427,4.57987880508881e-07,17.284366607666,5.23435163497925,4.5,0.35,0,0,36.516,17.0383777618408,5.90808296203613,7,0.919000029563904,85,0
"42","Uganda","Afghanistan",0,3.34649078004936,7.84017913701973e-07,16.8600330352783,5.82908058166504,4,0.16,0,0,45.754,17.0383777618408,5.90808296203613,7,0.921999990940094,101,0
"43","Chile","Afghanistan",0,10.1463297570832,7.74107174947858e-05,16.5101375579834,8.56620407104492,2,0,0,0,4.756,17.0383777618408,5.90808296203613,7,0.514999985694885,10,0
"45","Greece","Afghanistan",0,2.51894941521325,2.26681622734759e-05,16.1668853759766,9.45141410827637,3,0.013,0,0,4.666,17.0383777618408,5.90808296203613,7,0.0850000008940697,6,0
"46","Mexico","Afghanistan",0,8.62763318228559,2.32392976613482e-05,18.3714904785156,8.19596576690674,4,0,0,0,11.284,17.0383777618408,5.90808296203613,7,0.218999996781349,30,0
"47","Ireland","Afghanistan",0,3.77544666552711,6.05023160460405e-05,15.1270809173584,10.1496114730835,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.028999999165535,6,0
"48","Slovenia","Afghanistan",0,2.92701853452933,6.37908078715554e-06,14.4999198913574,9.31708335876465,2,0.01,0,0,0.406,17.0383777618408,5.90808296203613,7,0.398048013448715,5,0
"50","Egypt","Afghanistan",0,2.22355765877615,3.16114128509071e-05,17.9361724853516,7.0676417350769,6,0.94,0,0,58.302,17.0383777618408,5.90808296203613,7,0.025000000372529,49,0
"51","Iraq","Afghanistan",0,1.41773483562947,0,16.9200973510742,7.389564037323,7,0.97,0,0,56.693,17.0383777618408,5.90808296203613,7,0.375,103,0
"52","Singapore","Afghanistan",0,3.19811227664698,0.000274108751909807,15.1823673248291,10.1834478378296,5,0.149,0.425000011920929,0.0399999991059303,12.677,17.0383777618408,5.90808296203613,7,0.398000001907349,4,0
"53","Liberia","Afghanistan",0,5.39879359972018,0,14.9012136459351,5.06913232803345,5,0.2,0,0,65.428,17.0383777618408,5.90808296203613,7,0.897000014781952,114,0
"55","Benin","Afghanistan",0,4.63199527447514,0,15.5989570617676,6.00181007385254,2,0.2,0,0,78.238,17.0383777618408,5.90808296203613,7,0.524999976158142,87,0
"56","Bolivia","Afghanistan",0,9.52152871607069,0,15.8886823654175,6.86058473587036,3,0,0,0,22.406,17.0383777618408,5.90808296203613,7,0.740000009536743,60,0
"57","Dominican Rep.","Afghanistan",0,7.88974434972193,0,15.9077711105347,7.56537818908691,3,0,0,0,17.246,17.0383777618408,5.90808296203613,7,0.483000010251999,40,0
"58","Moldova","Afghanistan",0,2.25001438152282,0,15.2738933563232,6.48264217376709,4,0,0,0,2.107,17.0383777618408,5.90808296203613,7,0.544701993465424,18,0
"59","Thailand","Afghanistan",0,2.42151020656024,4.97903020004742e-05,17.9065170288086,7.93605709075928,3,0.038,0.949999988079071,0.00100000004749745,6.941,17.0383777618408,5.90808296203613,7,0.63400000333786,29,0
"60","Algeria","Afghanistan",0,3.63947079598335,0,17.1999015808105,7.3644061088562,5.5,0.99,0,0,45.931,17.0383777618408,5.90808296203613,7,0.29899999499321,35,0
"61","Honduras","Afghanistan",0,8.73189003351719,5.33433467353461e-06,15.6236238479614,6.5722074508667,3,0,0,0,26.773,17.0383777618408,5.90808296203613,7,0.119999997317791,36,0
"62","Costa Rica","Afghanistan",0,8.8961281670384,0.000117068579129409,15.1110754013062,8.23838806152344,2,0,0,0,4.683,17.0383777618408,5.90808296203613,7,0.458000004291534,13,0
"63","Peru","Afghanistan",0,9.80627620099958,2.28461044571304e-06,17.0263538360596,7.7543363571167,4,0,0,0,15.817,17.0383777618408,5.90808296203613,7,0.509999990463257,40,0
"64","Norway","Afghanistan",0,3.11084323903784,0.000116429124318529,15.3043613433838,10.5314788818359,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.0640000030398369,4,0
"65","Belgium","Afghanistan",0,3.36065040304863,0.000780532020144165,16.1378974914551,10.3069505691528,2,0,0,0,0,17.0383777618408,5.90808296203613,7,0.58899998664856,6,0
"66","Russia","Afghanistan",0,2.08906843485448,0.000180860646651126,18.8059425354004,7.75791072845459,4,0.24,0,0,0.681,17.0383777618408,5.90808296203613,7,0.333000004291534,17,0
"67","Burundi","Afghanistan",0,3.67734746624147,0,15.6946992874146,4.9605860710144,6.5,0.1,0,0,62.553,17.0383777618408,5.90808296203613,7,0.312999993562698,118,0
"68","Canada","Afghanistan",0,6.48829792211759,1.31482584038167e-05,17.223352432251,9.99863529205322,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.768999993801117,5,0
"70","Portugal","Afghanistan",0,4.21350082549743,7.33359820515034e-06,16.1148910522461,9.4292573928833,1,0,0,0,11.167,17.0383777618408,5.90808296203613,7,0.00700000021606684,8,0
"72","Paraguay","Afghanistan",0,9.22056371913752,0,15.4678163528442,7.50971269607544,3,0,0,0,8.544,17.0383777618408,5.90808296203613,7,0.180000007152557,24,0
"73","U.K.","Afghanistan",0,3.54541370831553,0.000171409279573709,17.8981189727783,9.98385238647461,2,0.03,0,0.00999999977648258,0,17.0383777618408,5.90808296203613,7,0.388999998569489,6,0
"74","Korea, North","Afghanistan",0,3.08928130455805,0,16.9065532684326,6.81783056259155,7,0,1,0,4.16,17.0383777618408,5.90808296203613,7,0.00400000018998981,9,0
"75","Chad","Afghanistan",0,3.71389749893091,0,15.8010358810425,5.40563869476318,4.5,0.51,0,0,69.399,17.0383777618408,5.90808296203613,7,0.856000006198883,99,0
"76","Jamaica","Afghanistan",0,8.1701643399205,0,14.7617483139038,7.68165683746338,2.5,0,0,0,10.121,17.0383777618408,5.90808296203613,7,0.42399999499321,21,0
"78","Albania","Afghanistan",0,2.69280380587947,0,14.9500331878662,6.81715822219849,4.5,0.7,0,0,24.869,17.0383777618408,5.90808296203613,7,0.0961999967694283,25,0
"79","Netherlands","Afghanistan",0,3.32598207158877,0.00014432379975915,16.5691719055176,10.3147792816162,1,0.044,0,0,0,17.0383777618408,5.90808296203613,7,0.344999998807907,5,0
"80","Cote d'Ivoire","Afghanistan",0,5.06612254840393,0,16.5368061065674,6.64203119277954,4,0.4,0,0,64.576,17.0383777618408,5.90808296203613,7,0.896000027656555,88,0
"81","Malaysia","Afghanistan",0,3.00644630587375,0.000165300400112756,16.9156036376953,8.44575023651123,5,0.604,0.19200000166893,0.063000001013279,18.215,17.0383777618408,5.90808296203613,7,0.718999981880188,8,0
"82","Korea, Rep.","Afghanistan",0,3.18360196851386,0.00301498919725418,17.6528091430664,9.42343330383301,2,0,0.5,0,4.149,17.0383777618408,5.90808296203613,7,0.00300000002607703,54,0
"83","Kuwait","Afghanistan",0,1.2900656623791,0,14.4393615722656,9.54591751098633,4.5,0.85,0,0.0500000007450581,22.135,17.0383777618408,5.90808296203613,7,0.787999987602234,12,0
"84","Libya","Afghanistan",0,3.17706991330325,0,15.4366970062256,8.51719284057617,7,0.97,0,0,34.905,17.0383777618408,5.90808296203613,7,0.26800000667572,23,0
"85","Iran","Afghanistan",0,1.00549074959791,0.00100198201835155,17.9410305023193,7.38988780975342,6.5,0.99,0,0,33.51,17.0383777618408,5.90808296203613,7,0.75,26,0
"86","Denmark","Afghanistan",0,3.01350340485586,0.000196706503629684,15.4834060668945,10.5319690704346,1,0.02,0,0,0,17.0383777618408,5.90808296203613,7,0.0610000006854534,5,0
"87","Haiti","Afghanistan",0,7.97840889446538,0,15.8498239517212,5.90219736099243,5,0,0,0,54.343,17.0383777618408,5.90808296203613,7,0.0109999999403954,71,0
"88","India","Afghanistan",0,0.621171788339713,0,20.7030639648438,6.10444355010986,3.5,0.12,0,0.813000023365021,56.533,17.0383777618408,5.90808296203613,7,0.878000020980835,70,0
"89","Senegal","Afghanistan",0,5.45669277197844,8.9659397417563e-06,16.0163269042969,6.38768768310547,4,0.94,0,0,74.219,17.0383777618408,5.90808296203613,7,0.791000008583069,5,0
"90","El Salvador","Afghanistan",0,8.8103748070499,9.83127574727405e-06,15.6130867004395,7.46229267120361,3,0,0,0,25.129,17.0383777618408,5.90808296203613,7,0.158999994397163,31,0
"91","Mali","Afghanistan",0,4.99954306271501,0,16.1476535797119,5.65223169326782,3,0.9,0,0,68.969,17.0383777618408,5.90808296203613,7,0.833000004291534,117,0
"93","Nicaragua","Afghanistan",0,8.83113863823404,0,15.3862676620483,6.07462215423584,2,0,0,0,33.985,17.0383777618408,5.90808296203613,7,0.389999985694885,36,0
"94","Jordan","Afghanistan",0,1.92076786460288,2.77412236755481e-05,15.3409910202026,7.37906217575073,4.5,0.92,0,0,18.209,17.0383777618408,5.90808296203613,7,0.455000013113022,27,0
"95","Morocco","Afghanistan",0,4.225583770307,2.83923941424291e-06,17.1405467987061,7.23179769515991,4.5,0.987,0,0,66.08,17.0383777618408,5.90808296203613,7,0.398999989032745,49,0
"96","Japan","Afghanistan",0,3.89461045783214,0.000863186200149357,18.6517925262451,10.6958694458008,2,0,0.839999973773956,0,0,17.0383777618408,5.90808296203613,7,0.0140000004321337,4,0
"98","Mozambique","Afghanistan",0,4.81437819393225,1.21994207802345e-05,16.6487236022949,5.24105310440063,4,0.2,0,0,73.621,17.0383777618408,5.90808296203613,7,0.698000013828278,67,0
"99","Congo","Afghanistan",0,4.40388194728241,0,14.862850189209,6.66730785369873,5,0.02,0,0,28.583,17.0383777618408,5.90808296203613,7,0.684000015258789,90,0
"100","Nepal","Afghanistan",0,1.0608513715439,0,16.9065532684326,5.46367597579956,4,0.038,0.0780000016093254,0.861999988555908,78.178,17.0383777618408,5.90808296203613,7,0.658999979496002,77,0
"101","Burkina Faso","Afghanistan",0,4.64141588915144,0,16.185754776001,5.48652458190918,4,0.5,0,0,87.316,17.0383777618408,5.90808296203613,7,0.712000012397766,104,0
"102","Mongolia","Afghanistan",0,2.13721513739951,0,14.6725225448608,6.04488801956177,3,0.02,0,0.959999978542328,1.388,17.0383777618408,5.90808296203613,7,0.349000006914139,50,0
"103","Poland","Afghanistan",0,2.64766932818733,0.00014297261077445,17.4713497161865,8.16438865661621,2,0,0,0,0.31,17.0383777618408,5.90808296203613,7,0.0350000001490116,10,0
"104","Sudan","Afghanistan",0,2.61764963245293,0,17.2167072296143,5.70769500732422,7,0.7,0,0,56.725,17.0383777618408,5.90808296203613,7,0.731000006198883,69,0
"105","Tunisia","Afghanistan",0,3.2608966172959,0.000104993254353758,16.0490989685059,7.77484273910522,5,0.98,0,0,42.341,17.0383777618408,5.90808296203613,7,0.0500000007450581,28,0
"106","Zimbabwe","Afghanistan",0,4.38047975905146,0,16.3169460296631,6.46213531494141,5,0.01,0,0,17.312,17.0383777618408,5.90808296203613,7,0.472000002861023,73,0
"107","Sweden","Afghanistan",0,2.85303456877856,1.11366716737393e-05,15.9961309432983,10.3106269836426,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.136999994516373,4,0
"108","Hungary","Afghanistan",0,2.70797464885833,3.68735595657199e-06,16.1378974914551,8.54156875610352,2,0,0,0,0.859,17.0383777618408,5.90808296203613,7,0.0130000002682209,10,0
"109","Trinidad & Tobago","Afghanistan",0,7.94324238730051,3.6974918202759e-06,14.0663785934448,8.50862407684326,2,0.058,0,0.237999990582466,8.491,17.0383777618408,5.90808296203613,7,0.638999998569489,16,0
"110","Finland","Afghanistan",0,2.64141043751695,0.000628078181762248,15.4550895690918,10.318660736084,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.12899999320507,4,0
"111","Niger","Afghanistan",0,4.39232261566462,0,16.1280460357666,5.33631801605225,5,0.8,0,0,92.289,17.0383777618408,5.90808296203613,7,0.681999981403351,76,0
"113","Colombia","Afghanistan",0,8.82402969575006,9.28088775253855e-06,17.5241928100586,7.75578641891479,4,0,0,0,8.937,17.0383777618408,5.90808296203613,7,0.596000015735626,23,0
"114","Papua N. Guinea","Afghanistan",0,5.91076677932781,0,15.4012317657471,6.86105537414551,3.5,0,0,0,44.962,17.0383777618408,5.90808296203613,7,0.984000027179718,59,0
"115","Austria","Afghanistan",0,2.83382982708422,2.61943696386879e-05,15.9047107696533,10.3707408905029,1,0.085,0,0,0,17.0383777618408,5.90808296203613,7,0.152999997138977,5,0
"116","Tajikistan","Afghanistan",0,0.281658145339033,0,15.6282157897949,5.90925884246826,6,0.9,0,0,1.435,17.0383777618408,5.90808296203613,7,0.550000011920929,23,0
"117","Guinea","Afghanistan",0,5.44214127865339,0,15.7736482620239,6.39943742752075,5,0.85,0,0,73,17.0383777618408,5.90808296203613,7,0.750999987125397,118,0
"118","Armenia","Afghanistan",0,1.41118917575357,0,14.9727058410645,7.03308296203613,4,0,0,0,2.606155,17.0383777618408,5.90808296203613,7,0.133000001311302,15,0
"119","Panama","Afghanistan",0,8.79631113371882,0,14.8321895599365,8.23679351806641,3,0,0,0,9.279,17.0383777618408,5.90808296203613,7,0.479999989271164,21,0
"121","Guatemala","Afghanistan",0,8.78277722342767,3.88714943255764e-06,16.1950569152832,7.3388524055481,4,0,0,0,40.356,17.0383777618408,5.90808296203613,7,0.758000016212463,42,0
"123","Romania","Afghanistan",0,2.36685667749178,0,16.9290256500244,7.30728626251221,2,0.004,0,0,3.08,17.0383777618408,5.90808296203613,7,0.208000004291534,21,0
"124","Malawi","Afghanistan",0,4.07722516805491,0,16.1064281463623,5.11416053771973,3,0.2,0,0,55.633,17.0383777618408,5.90808296203613,7,0.606000006198883,134,0
"126","Argentina","Afghanistan",0,9.48657090205801,0,17.4018039703369,8.99179840087891,3,0,0,0,3.403,17.0383777618408,5.90808296203613,7,0.287999987602234,19,0
"127","Belarus","Afghanistan",0,2.40592793231364,0.000141531301778741,16.1249713897705,7.21069192886353,6,0,0,0,0.497,17.0383777618408,5.90808296203613,7,0.32218399643898,11,0
"129","Oman","Afghanistan",0,0.987033276126899,0.000169707171153277,14.6492891311646,8.69083690643311,6,0.95,0,0.0500000007450581,42.894,17.0383777618408,5.90808296203613,7,0.142000004649162,18,0
"130","U.S.A.","Afghanistan",0,6.92278400091055,8.42909430502914e-05,19.4322814941406,10.3335962295532,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.574999988079071,7,0
"131","France","Afghanistan",0,3.46803190982828,0.00013090847642161,17.8828258514404,10.2787857055664,2,0.09,0,0,0,17.0383777618408,5.90808296203613,7,0.317999988794327,5,0
"134","Turkey","Afghanistan",0,2.01791249149163,0.000196708060684614,17.9649753570557,7.99525117874146,5,0.998,0,0,25.201,17.0383777618408,5.90808296203613,7,0.254999995231628,38,0
"135","Uzbekistan","Afghanistan",0,0.466056164887232,0,16.9977226257324,6.18374490737915,6,0.88,0,0,1.361,17.0383777618408,5.90808296203613,7,0.477999985218048,22,0
"136","Switzerland","Afghanistan",0,3.25504026654594,4.4464639358921e-05,15.7770128250122,10.7315835952759,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.586000025272369,4,0
"137","Philippines","Afghanistan",0,3.48726085262449,1.28664919429866e-06,18.1032257080078,7.04413223266602,3,0.05,0,0,5.44,17.0383777618408,5.90808296203613,7,0.859000027179718,32,0
"138","New Zealand","Afghanistan",0,8.47083127654028,1.89622223842889e-05,15.1484565734863,9.77384090423584,1,0,0,0,0,17.0383777618408,5.90808296203613,7,0.421000003814697,5,0
"139","South Africa","Afghanistan",0,4.95200875406656,2.48172091232846e-05,17.5387916564941,8.29311752319336,2,0.02,0,0.0149999996647239,16.259,17.0383777618408,5.90808296203613,7,0.885999977588654,51,0
"140","Togo","Afghanistan",0,4.72468090290054,0,15.2643432617188,5.82014417648315,5,0.2,0,0,60.456,17.0383777618408,5.90808296203613,7,0.707000017166138,78,0
"141","Spain","Afghanistan",0,3.90107491112001,0.000110120330646168,17.4892768859863,9.72631645202637,2,0,0,0,3.551,17.0383777618408,5.90808296203613,7,0.46000000834465,5,0
"142","Ethiopia","Afghanistan",0,2.5950737124381,2.21795198740438e-06,17.9312896728516,4.73172473907471,4.5,0.45,0,0,71.521,17.0383777618408,5.90808296203613,7,0.765999972820282,107,0
"143","Venezuela","Afghanistan",0,8.19839672361988,2.07199718715856e-07,16.9596633911133,8.13380146026611,3,0,0,0,8.699,17.0383777618408,5.90808296203613,7,0.523999989032745,21,0
"144","Germany","Afghanistan",0,2.96753576892834,0.000481865950860083,18.2222290039062,10.367712020874,2,0.037,0,0,0,17.0383777618408,5.90808296203613,7,0.111000001430511,5,0
"146","Rwanda","Afghanistan",0,3.5711541237905,0,15.9079914093018,5.55027103424072,6,0.046,0,0,42.949,17.0383777618408,5.90808296203613,7,0.259999990463257,69,0
"147","Drc","Afghanistan",0,4.40457287425505,2.45238497882383e-05,17.6908702850342,4.60084247589111,6,0.1,0,0,52.976,17.0383777618408,5.90808296203613,7,0.90200001001358,90,0
"148","Laos","Afghanistan",0,2.34689597752155,0,15.4324026107788,6.07651996612549,6,0,0.600000023841858,0,69.779,17.0383777618408,5.90808296203613,7,0.547999978065491,96,0
"149","Saudi Arabia","Afghanistan",0,1.50463657041588,1.38509876705939e-05,16.7961292266846,8.81570148468018,7,1,0,0,36.069,17.0383777618408,5.90808296203613,7,0.300000011920929,20,0
"150","Cuba","Afghanistan",0,8.03268473768257,0,16.2224559783936,6.8480052947998,7,0,0,0,3.729,17.0383777618408,5.90808296203613,7,0.638000011444092,7,0
"151","Syria","Afghanistan",0,1.8760329050043,0,16.549877166748,6.69736528396606,7,0.9,0,0,42.07,17.0383777618408,5.90808296203613,7,0.209999993443489,28,0
"152","Mongolia","Albania",0,4.06896099331581,0,14.6725225448608,6.04488801956177,3,0.02,0,0.959999978542328,1.388,14.9500331878662,6.81715822219849,4.5,0.349000006914139,50,0
"154","Papua N. Guinea","Albania",0,8.55409123794538,0,15.4012317657471,6.86105537414551,3.5,0,0,0,44.962,14.9500331878662,6.81715822219849,4.5,0.984000027179718,59,0
"155","Chad","Albania",0,2.03789844807974,0,15.8010358810425,5.40563869476318,4.5,0.51,0,0,69.399,14.9500331878662,6.81715822219849,4.5,0.856000006198883,99,0
"156","Syria","Albania",0,1.04993046760506,0.000147683502291329,16.549877166748,6.69736528396606,7,0.9,0,0,42.07,14.9500331878662,6.81715822219849,4.5,0.209999993443489,28,0
"157","Dominican Rep.","Albania",0,5.36618201277906,0,15.9077711105347,7.56537818908691,3,0,0,0,17.246,14.9500331878662,6.81715822219849,4.5,0.483000010251999,40,0
"159","Belgium","Albania",0,0.986994446978323,0.00131996953859925,16.1378974914551,10.3069505691528,2,0,0,0,0,14.9500331878662,6.81715822219849,4.5,0.58899998664856,6,0
"160","Burkina Faso","Albania",0,2.37897788436559,0,16.185754776001,5.48652458190918,4,0.5,0,0,87.316,14.9500331878662,6.81715822219849,4.5,0.712000012397766,104,0
"161","Kuwait","Albania",0,1.77855358675439,0,14.4393615722656,9.54591751098633,4.5,0.85,0,0.0500000007450581,22.135,14.9500331878662,6.81715822219849,4.5,0.787999987602234,12,0
"162","Rwanda","Albania",0,3.05676748154993,0,15.9079914093018,5.55027103424072,6,0.046,0,0,42.949,14.9500331878662,6.81715822219849,4.5,0.259999990463257,69,0
"163","Australia","Albania",0,9.68898079030864,6.86628482071683e-05,16.7493667602539,10.0479793548584,1,0,0,0,0,14.9500331878662,6.81715822219849,4.5,0.437000006437302,5,0
"164","Guinea-Biss","Albania",0,2.95055222595942,0,13.9546899795532,5.36751508712769,4.5,0.45,0,0,79.094,14.9500331878662,6.81715822219849,4.5,0.783999979496002,128,0
"166","Armenia","Albania",0,1.28164412908068,0,14.9727058410645,7.03308296203613,4,0,0,0,2.606155,14.9500331878662,6.81715822219849,4.5,0.133000001311302,15,0
"167","Sweden","Albania",0,1.24518658152104,0.00244064861908555,15.9961309432983,10.3106269836426,1,0,0,0,0,14.9500331878662,6.81715822219849,4.5,0.136999994516373,4,0
"168","Belarus","Albania",0,0.938025808922571,0.000124382000649348,16.1249713897705,7.21069192886353,6,0,0,0,0.497,14.9500331878662,6.81715822219849,4.5,0.32218399643898,11,0
"169","Senegal","Albania",0,2.8870283289063,0,16.0163269042969,6.38768768310547,4,0.94,0,0,74.219,14.9500331878662,6.81715822219849,4.5,0.791000008583069,5,0
"170","Netherlands","Albania",0,1.03330638051564,0.00200177938677371,16.5691719055176,10.3147792816162,1,0.044,0,0,0,14.9500331878662,6.81715822219849,4.5,0.344999998807907,5,0
"171","Afghanistan","Albania",0,2.69280380587947,0,17.0383777618408,5.90808296203613,7,0.99,0,0,78.1,14.9500331878662,6.81715822219849,4.5,0.667999982833862,149,0
"172","Myanmar","Albania",0,4.75483077638262,0,17.6571102142334,5.68697547912598,7,0.04,0.889999985694885,0,20.585,14.9500331878662,6.81715822219849,4.5,0.421000003814697,78,0
"173","Cuba","Albania",0,5.76390623020193,0,16.2224559783936,6.8480052947998,7,0,0,0,3.729,14.9500331878662,6.81715822219849,4.5,0.638000011444092,7,0
"174","Thailand","Albania",0,5.11161952336213,8.72645432536956e-06,17.9065170288086,7.93605709075928,3,0.038,0.949999988079071,0.00100000004749745,6.941,14.9500331878662,6.81715822219849,4.5,0.63400000333786,29,0
"175","Moldova","Albania",0,0.592411300650543,6.91955647198483e-05,15.2738933563232,6.48264217376709,4,0,0,0,2.107,14.9500331878662,6.81715822219849,4.5,0.544701993465424,18,0
"176","Yemen","Albania",0,2.30756356500952,0,16.6249141693115,5.72900438308716,6,0.99,0,0,77.543,14.9500331878662,6.81715822219849,4.5,0.0500000007450581,82,0
