"alpha","beta","sigma"
6.89790764424108,-0.46867596531891,0.624486117133571
7.04007433481566,-0.489956351271592,0.57940927321535
7.08121536363519,-0.502987470925772,0.633574418151802
7.13064446153902,-0.500470444415529,0.569134815397734
7.25074452448814,-0.516485524233684,0.620783903745814
7.05269964743923,-0.495194046753622,0.542433037241116
7.22943267570918,-0.51961055912841,0.568206483110253
7.01011750876702,-0.48197329838666,0.599714697875765
7.254090418583,-0.509371531344234,0.616614801609696
6.61743458750348,-0.432438888060773,0.594647685540416
7.07495894524226,-0.485938542908297,0.604016908401384
6.87522509456651,-0.478087634709582,0.630246168433599
7.45167639020699,-0.542134924132014,0.549615485614563
6.97316134509064,-0.470229135606634,0.596775368110075
7.10921099188113,-0.503963500973947,0.59374126479955
6.78649234050553,-0.466828195413383,0.655475826054709
7.23938416162414,-0.525385120228371,0.619619421829679
7.01740186402671,-0.481176761424201,0.614794724529884
6.88822148233918,-0.472187310274163,0.571951545817351
7.37480747509857,-0.536973444515024,0.592451077457496
6.81427418968973,-0.463684412173457,0.673777996555043
7.13231916083965,-0.501645793071921,0.590230554431803
7.24039959578797,-0.524163709857367,0.595041015055844
7.0620153884325,-0.498851913461893,0.599757738934707
6.93460129220102,-0.479158487595333,0.580307044405387
7.03387618890936,-0.501218866851153,0.611426395347515
7.37137964932047,-0.529833092883536,0.5646356458373
7.12601354153784,-0.508629874701735,0.667435986316752
6.98827885255949,-0.488717034011593,0.567828178133949
7.37743406604762,-0.531593107990733,0.588585536789933
7.21817068525314,-0.512765605708157,0.61029456292936
7.26206386706557,-0.521287540136082,0.542253356407163
6.8084807838051,-0.461060015301427,0.576806183845811
7.09092368713603,-0.493976336064197,0.576755814297412
6.90258940865539,-0.487647509006766,0.589158852595436
7.40585906297755,-0.546508753434417,0.560536415159826
7.18847087640257,-0.518799879803007,0.610373492206165
6.87773067145605,-0.484110746611967,0.58407190824366
7.2586117887237,-0.519379337090074,0.564319549497449
7.41320097340187,-0.537523564201758,0.581061025037637
6.83233113808911,-0.454879725208057,0.661569725562588
6.58244999143151,-0.435065381812856,0.593318509533459
7.20888186668444,-0.519935494285382,0.567055276778893
7.03737670555496,-0.4970694488009,0.580634693262691
6.89643941546977,-0.471801599239832,0.559877326889407
7.10426039731252,-0.497155098747305,0.604488125015513
7.24666483707337,-0.532145283917249,0.561772695619607
6.90586981365578,-0.484654120665317,0.577124574500932
7.23524546645446,-0.506540443033396,0.621156344745064
6.97898180872382,-0.477346648552115,0.584662881625882
6.90586981365578,-0.484654120665317,0.577124574500932
7.3839321029149,-0.531503432164576,0.560282960920188
7.02978495124055,-0.489538830052738,0.595097793637871
7.02380148297285,-0.502735214221742,0.652752101585929
7.21224165643473,-0.511813903186143,0.610264279896709
7.25757081336916,-0.507991947295645,0.619463418613316
7.20866749248301,-0.511032538248727,0.591882726664878
7.26772378787119,-0.528809887233632,0.601752543357645
7.38165230923774,-0.533361423917894,0.600059439282037
6.87995773250178,-0.478973398155987,0.579493452326265
7.16664281838843,-0.50480152239305,0.604210963423587
7.1730362571987,-0.509253169205166,0.638768123748637
7.37477345029145,-0.526190449019347,0.563805507964046
7.25308701454508,-0.518038990806144,0.585923876471003
7.05238525842311,-0.490839220565463,0.644887549803707
7.173531908619,-0.512311467658154,0.620574210747696
7.38859383473048,-0.542279960684597,0.592702822467345
6.78321493438281,-0.454140948286142,0.620197963121189
7.21616818562259,-0.52073355859208,0.605378375797256
7.16441288782907,-0.516633575707633,0.60810638531194
7.14793327346273,-0.502022631669838,0.632746681397541
7.01703716782921,-0.495551087105318,0.590191585781655
6.79378350329535,-0.461207289985083,0.624711047002766
7.29572533440194,-0.534167969215316,0.586164292619863
6.91430176604706,-0.472701248166095,0.59137870613731
6.85655748792809,-0.474258198225022,0.619942383039146
6.95759100335525,-0.4703171956657,0.636439227598797
7.42139649939838,-0.533470306994136,0.648954458373165
6.9968160433618,-0.488491818168502,0.55540784130628
7.22832627185453,-0.515309057169326,0.604635674564236
6.95030851963111,-0.476468260257272,0.573229827391722
6.92032591325118,-0.47721982836437,0.586878117496293
7.00777182380348,-0.487411497990057,0.544211414792664
6.97208382533455,-0.486304450053804,0.559154112338221
6.96522868020841,-0.489573567211729,0.559725909230608
7.06148561408228,-0.491332688716326,0.604343696514483
7.00014106721085,-0.486233000766407,0.575447705482173
6.99641652594683,-0.489137552781771,0.634615305835322
7.38945486721836,-0.54464476373646,0.576924677306182
6.85634401071116,-0.4712258324665,0.688233015908496
7.42890139133474,-0.544313830746211,0.577055584671308
7.18921338748201,-0.511568424958321,0.606981956419422
6.97208382533455,-0.486304450053804,0.559154112338221
6.81555115246699,-0.473078151058313,0.579125949144853
7.05783249910822,-0.495018362374749,0.608883824471469
7.06082133959931,-0.49558338937279,0.617749114295002
6.68773945298841,-0.440541402919473,0.662027558004346
6.82641535500215,-0.463098845517436,0.584392394427731
7.13189898770452,-0.509612435130021,0.572120736997547
6.98478652412159,-0.476165680265994,0.616723881927763
7.12674809127891,-0.510965062342718,0.536134035441314
7.30018289289311,-0.527831762632932,0.623592822528072
6.97229338983243,-0.486880391195877,0.630550287167674
6.41995305242518,-0.409727698090866,0.60429540730012
7.1497261513082,-0.505071694245584,0.534277200396096
7.20855874227744,-0.516277573544899,0.556449681329191
7.12902210384528,-0.498507870637118,0.630030120141687
7.1119271982499,-0.503262382237415,0.570181007964811
6.96410129347134,-0.487636409363652,0.590730329250014
7.05540845517558,-0.482862213040119,0.62735286770245
6.89317080858283,-0.478648920962806,0.619621301458274
6.86054103310886,-0.471594771979265,0.558222621109963
6.91348932024027,-0.478715417740799,0.646768568109204
7.48048116830932,-0.544632636411413,0.591440187524795
7.07712986538143,-0.494261024100827,0.622225421650164
7.25070516453005,-0.518946552926847,0.580447150076258
6.75741132599902,-0.45246931585852,0.635553503445684
7.49442723590509,-0.559271240674678,0.619769118183313
7.24002773543753,-0.51669661099617,0.596497035977133
7.14479404156928,-0.512301884466929,0.55998653443682
7.03940725124668,-0.483584115856927,0.587484049404165
7.22841002691515,-0.513608834484853,0.600287756952406
7.10776910308407,-0.497514417811143,0.591167039637162
7.19876882531741,-0.518610180230805,0.555304088424517
7.08152334169741,-0.500473980203422,0.586784464016969
6.93328716210481,-0.481465264821279,0.580426285936994
7.00865040966674,-0.482118089706544,0.547405994316374
7.67283467056796,-0.5695960063184,0.643019003530931
7.15896658559227,-0.498286334027668,0.54677130601563
6.58003658180739,-0.426255239626674,0.668924945122589
6.86798892877006,-0.469310674646036,0.609912744479576
6.5699175852539,-0.437987989700947,0.600840386623071
6.98530544869146,-0.4823008127825,0.613473085237128
7.23112162215654,-0.524586313116404,0.605175257160086
6.82187052638794,-0.45090027644984,0.63642877569601
7.23509791549746,-0.510244604309476,0.623630475074258
7.12426847280592,-0.503370421493148,0.572031110716796
7.01755396543227,-0.49448816792357,0.592540616959346
7.09855345568985,-0.490563577787998,0.629912780128353
7.07933792727268,-0.501834104559006,0.613711171907098
7.12896161757974,-0.510025991157552,0.565603281599547
7.27267638273239,-0.519548097913763,0.617449366648083
6.59660205207483,-0.433168038400754,0.622909832205135
7.06174525482359,-0.497573226253421,0.609637052956953
7.16271898003544,-0.497107374881218,0.628864450861174
7.02310307394921,-0.488686225563327,0.589356105500108
7.04186330128567,-0.487613890669444,0.679400839896704
6.74072135475088,-0.448098236223853,0.572590611245117
7.13065729377411,-0.492370835100856,0.605061329474223
6.57491536431687,-0.435950082906822,0.545336111120268
7.06989078689579,-0.491464832934709,0.57989586837727
6.75865575610226,-0.454006310408986,0.624189871700199
7.1205161257619,-0.510204087281937,0.588248910395259
6.91018764569471,-0.475873010359468,0.549675435763622
6.90926776882711,-0.482803418556874,0.651747992202901
7.41624902517997,-0.539707114744999,0.579786056876749
6.94570416840983,-0.484589399814479,0.621559976098516
7.12188184310832,-0.500888170888307,0.590615634345202
6.97988916067901,-0.482785738369513,0.567943903575936
6.90351978810346,-0.480258358235253,0.647410672899599
7.17955231641308,-0.502555684125199,0.646108138729209
6.78016820156094,-0.468570746422365,0.635071597709594
6.98059679955697,-0.487059873619412,0.632792067425393
6.84781712044768,-0.4652940109205,0.61174590100227
6.94674673534908,-0.492155256103937,0.582164717061943
6.9276997599989,-0.475217496206977,0.629852241863271
7.22184606322843,-0.518286149718812,0.578613526184832
7.08858878476565,-0.501610147760923,0.577902886644832
6.65605458744825,-0.444415952933846,0.593742659763759
7.01624580952301,-0.496352247079454,0.588799995107599
6.92139172480912,-0.480553217906848,0.641033000399661
6.56438027450348,-0.427753776506533,0.62539629297264
7.14236813821727,-0.510913712368701,0.610603474842836
6.84462076944839,-0.470407230917583,0.639417984833262
7.1520557603698,-0.503684885504646,0.554778455573868
7.24670734352061,-0.519132044501222,0.554730065257122
6.99367097297639,-0.474246518656908,0.596522779516455
6.94462086569483,-0.479246921151194,0.555474260422475
7.14341547479215,-0.511474318023274,0.608092856651069
7.2707406264719,-0.528007961364253,0.542386613319104
6.95217476464486,-0.483236503397744,0.610157033352731
7.1189085612134,-0.505710276124139,0.594136241559798
7.05567528639253,-0.490179552370392,0.622942788236008
6.9248171601826,-0.483878937770714,0.568528881152765
7.02707461990116,-0.500134229692596,0.647564518908955
6.94519446786232,-0.474295279840705,0.551306560066211
6.6594214235923,-0.432743007054132,0.5441695303964
7.42146304707892,-0.541653188436031,0.559031763055782
7.02641731650745,-0.495515208899128,0.552817578671611
7.05758832246378,-0.49998267169996,0.605754801378977
6.93419166572454,-0.467188488701769,0.581681961868904
6.55678361777104,-0.426325106864096,0.658688176304616
7.5300320321269,-0.549969087041453,0.62419391558583
6.60638797824369,-0.435628880241862,0.595131690707272
7.00253256779784,-0.492465802431951,0.592599493570098
7.13221642561536,-0.512279567557797,0.586296679409981
7.06958329983959,-0.490499652740706,0.600701217441894
6.69173762838441,-0.448306612984951,0.564379952780951
7.27814803399214,-0.52156132521865,0.597767786461361
7.06515425699147,-0.500544427723756,0.543864235208328
7.02670449602504,-0.487663251205624,0.67576721579846
6.91757090232859,-0.479598402967105,0.650248334395288
6.56557888354942,-0.433050857239304,0.600356020915586
6.97072238183992,-0.491033458703253,0.610947364420485
6.93663730046744,-0.490223328758983,0.613901534084272
7.06460683906476,-0.501599012958232,0.656954492999896
7.0857115983138,-0.493555625656313,0.590731892067845
7.10597993695244,-0.498228281229367,0.600460359526442
7.31314126917359,-0.534149456349444,0.621814750212606
7.05684710878047,-0.496929010320479,0.580111404313747
7.29122931801683,-0.516008180837391,0.617700067473181
7.30920814374074,-0.525888692134503,0.583645097945433
7.09271630344427,-0.488292968466687,0.61898750669684
7.00117703766687,-0.479961696337229,0.625632380345119
7.05683001911332,-0.501946296945229,0.554990027945682
7.19085012169009,-0.517502270974037,0.600311850514289
7.09395798857224,-0.501726648969754,0.536192928961003
7.27223063751333,-0.511439041110918,0.63187601735246
6.98535885253777,-0.481711736759902,0.634059301523534
7.18835513003835,-0.516914179653737,0.611496763023868
7.0845199675626,-0.507821945139741,0.620955433609314
7.31780643918924,-0.526918481287836,0.62330264428942
7.09369771170708,-0.497564346593198,0.54881709468498
7.03198441506669,-0.489601051483956,0.601639034838589
6.59660205207483,-0.433168038400754,0.622909832205135
6.82397533244151,-0.460970314521923,0.571650759999584
7.31780643918924,-0.526918481287836,0.62330264428942
6.57256882150784,-0.423245343841036,0.656941023653947
7.03613149186327,-0.488778793039332,0.593342131485704
6.88225964215209,-0.474729046880446,0.632567509057547
7.28013390185516,-0.525284945438671,0.560019402808098
7.13534650565405,-0.50263839325466,0.589599369169024
6.90850359112205,-0.483406507573953,0.583745831404361
6.66439534224995,-0.449816561955704,0.616189964908756
